"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …",hier Religionsfreiheit gilt.,die Menschen Steuern zahlen.,die Menschen das Wahlrecht haben.,hier Meinungsfreiheit gilt,hier Meinungsfreiheit gilt
"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …",Geschichtsunterricht teilnimmt.,Religionsunterricht teilnimmt.,Politikunterricht teilnimmt.,Sprachunterricht teilnimmt.,Religionsunterricht teilnimmt.
Deutschland ist ein Rechtsstaat. Was ist damit gemeint?,Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,Der Staat muss sich nicht an die Gesetze halten.,Nur Deutsche müssen die Gesetze befolgen.,Die Gerichte machen die Gesetze.,Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.
Welches Recht gehört zu den Grundrechten in Deutschland?,Waffenbesitz,Faustrecht,Meinungsfreiheit,Selbstjustiz,Meinungsfreiheit
Wahlen in Deutschland sind frei. Was bedeutet das?,"Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.","Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.",Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.,Alle wahlberechtigten Personen müssen wählen.,Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.
Wie heißt die deutsche Verfassung?,Volksgesetz,Bundesgesetz,Deutsches Gesetz,Grundgesetz,Grundgesetz
"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …",Glaubens- und Gewissensfreiheit,Unterhaltung,Arbeit,Wohnung,Glaubens- und Gewissensfreiheit
Was steht nicht im Grundgesetz von Deutschland?,Die Würde des Menschen ist unantastbar.,Alle sollen gleich viel Geld haben.,Jeder Mensch darf seine Meinung sagen.,Alle sind vor dem Gesetz gleich.,Alle sollen gleich viel Geld haben.
Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …,Schutz der Familie,Menschenwürde,Asyl,Meinungsfreiheit,Asyl
Was ist mit dem deutschen Grundgesetz vereinbar?,die Prügelstrafe,die Folter,die Todesstrafe,die Geldstrafe,die Geldstrafe
Wie wird die Verfassung der Bundesrepublik Deutschland genannt?,Grundgesetz,Bundesverfassung,Gesetzbuch,Verfassungsvertrag,Grundgesetz
Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,"Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.","Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.","Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden."
"Im Parlament steht der Begriff ""Opposition"" für …",die regierenden Parteien.,die Fraktion mit den meisten Abgeordneten.,"alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören."
"Meinungsfreiheit in Deutschland heißt, dass ich …",Passanten auf der Straße beschimpfen darf.,meine Meinung in Leserbriefen äußern kann.,Nazi-Symbole tragen darf.,"meine Meinung sagen darf, solange ich der Regierung nicht widerspreche.",meine Meinung in Leserbriefen äußern kann.
Was verbietet das deutsche Grundgesetz?,Militärdienst,Zwangsarbeit,freie Berufswahl,Arbeit im Ausland,Zwangsarbeit
Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?,bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen,bei Meinungsäußerungen über die Bundesregierung,bei Diskussionen über Religionen,bei Kritik am Staat,bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen
Die deutschen Gesetze verbieten …,Meinungsfreiheit der Einwohnerinnen und Einwohner.,Petitionen der Bürgerinnen und Bürger.,Versammlungsfreiheit der Einwohnerinnen und Einwohner.,Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.,Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.
Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?,die Unantastbarkeit der Menschenwürde,das Recht auf Leben,Religionsfreiheit,Meinungsfreiheit,die Unantastbarkeit der Menschenwürde
"Was versteht man unter dem Recht der ""Freizügigkeit"" in Deutschland?",Man darf sich seinen Wohnort selbst aussuchen.,Man kann seinen Beruf wechseln.,Man darf sich für eine andere Religion entscheiden.,Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.,Man darf sich seinen Wohnort selbst aussuchen.
"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …",tolerant,rechtsstaatlich orientiert,gesetzestreu,verfassungswidrig,verfassungswidrig
Welches ist das Wappen der Bundesrepublik Deutschland?,Bild 1,Bild 2,Bild 3,Bild 4,kein
Was für eine Staatsform hat Deutschland?,Monarchie,Diktatur,Republik,Fürstentum,Republik
In Deutschland sind die meisten Erwerbstätigen …,bei einer Firma oder Behörde beschäftigt.,in kleinen Familienunternehmen beschäftigt.,ehrenamtlich für ein Bundesland tätig.,selbstständig mit einer eigenen Firma tätig.,bei einer Firma oder Behörde beschäftigt.
Wie viele Bundesländer hat die Bundesrepublik Deutschland?,14,15,16,17,16
Was ist kein Bundesland der Bundesrepublik Deutschland?,Elsass-Lothringen,Nordrhein-Westfalen,Mecklenburg-Vorpommern,Sachsen-Anhalt,Elsass-Lothringen
Deutschland ist …,ein kommunistische Republik.,ein demokratischer und sozialer Bundesstaat.,eine kapitalistische und soziale Monarchie.,ein sozialer und sozialistischer Bundesstaat.,ein demokratischer und sozialer Bundesstaat.
Deutschland ist …,ein sozialistischer Staat.,ein Bundesstaat.,eine Diktatur.,eine Monarchie.,ein Bundesstaat.
Wer wählt in Deutschland die Abgeordneten zum Bundestag?,das Militär,die Wirtschaft,das wahlberechtigte Volk,die Verwaltung,das wahlberechtigte Volk
Welches Tier ist das Wappentier der Bundesrepublik Deutschland?,Löwe,Adler,Bär,Pferd,Adler
Was ist kein Merkmal unserer Demokratie?,regelmäßige Wahlen,Pressezensur,Meinungsfreiheit,verschiedene Parteien,Pressezensur
Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …,Einheit,Koalition,Ministerium,Fraktion,Koalition
Was ist keine staatliche Gewalt in Deutschland?,Gesetzgebung,Regierung,Presse,Rechtsprechung,Presse
Welche Aussage ist richtig? In Deutschland …,sind Staat und Religionsgemeinschaften voneinander getrennt.,bilden die Religionsgemeinschaften den Staat.,ist der Staat abhängig von den Religionsgemeinschaften.,bilden Staat und Religionsgemeinschaften eine Einheit.,sind Staat und Religionsgemeinschaften voneinander getrennt.
Was ist Deutschland nicht?,eine Demokratie,ein Rechtsstaat,eine Monarchie,ein Sozialstaat,eine Monarchie
Womit finanziert der deutsche Staat die Sozialversicherung?,Kirchensteuer,Sozialabgaben,Spendengeldern,Vereinsbeiträgen,Sozialabgaben
Welche Maßnahme schafft in Deutschland soziale Sicherheit?,die Krankenversicherung,die Autoversicherung,die Gebäudeversicherung,die Haftpflichtversicherung,die Krankenversicherung
Wie werden die Regierungschefinnen/Regierungschefs der meisten Bundesländer in Deutschland genannt?,Erste Ministerin/Erster Minister,Premierministerin/Premierminister,Senatorin/Senator,Ministerpräsidentin/Ministerpräsident,Ministerpräsidentin/Ministerpräsident
Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …,Staatenverbund,Bundesstaat,Staatenbund,Zentralstaat,Bundesstaat
Was hat jedes deutsche Bundesland?,eine eigene Außenministerin/einen eigenen Außenminister,eine eigene Währung,eine eigene Armee,eine eigene Regierung,eine eigene Regierung
Mit welchen Worten beginnt die deutsche Nationalhymne?,"Völker, hört die Signale …",Einigkeit und Recht und Freiheit …,Freude schöner Götterfunken …,Deutschland einig Vaterland …,Einigkeit und Recht und Freiheit …
Warum gibt es in einer Demokratie mehr als eine Partei?,weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden,damit Bestechung in der Politik begrenzt wird,um politische Demonstrationen zu verhindern,um wirtschaftlichen Wettbewerb anzuregen,weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden
Wer beschließt in Deutschland ein neues Gesetz?,die Regierung,das Parlament,die Gerichte,die Polizei,das Parlament
Wann kann in Deutschland eine Partei verboten werden?,wenn ihr Wahlkampf zu teuer ist,wenn sie gegen die Verfassung kämpft,wenn sie Kritik am Staatsoberhaupt äußert,wenn ihr Programm eine neue Richtung vorschlägt,wenn sie gegen die Verfassung kämpft
Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?,Abgeordnete des EU-Parlaments,Die Bundespräsidentin/den Bundespräsidenten,Landtagsabgeordnete,Bundestagsabgeordnete,Die Bundespräsidentin/den Bundespräsidenten
Zu welcher Versicherung gehört die Pflegeversicherung?,Sozialversicherung,Unfallversicherung,Hausratsversicherung,Haftpflicht- und Feuerversicherung,Sozialversicherung
Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,Er baut Straßen und Schulen.,Er verkauft Lebensmittel und Kleidung.,Er versorgt alle Einwohnerinnen und Einwohner kostenlos mit Zeitungen.,Er produziert Autos und Busse.,Er baut Straßen und Schulen.
Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?,Er bezahlt für alle Staatsangehörigen Urlaubsreisen.,Er zahlt Kindergeld.,Er unterstützt Museen.,Er fördert Sportlerinnen und Sportler.,Er bezahlt für alle Staatsangehörigen Urlaubsreisen.
Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?,der Bundesrat,die Bundespräsidentin/der Bundespräsident,die Bürgerversammlung,die Regierung,die Bürgerversammlung
Wer bestimmt in Deutschland die Schulpolitik?,die Lehrer und Lehrerinnen,die Bundesländer,das Familienministerium,die Universitäten,die Bundesländer
Die Wirtschaftsform in Deutschland nennt man …,freie Zentralwirtschaft,soziale Marktwirtschaft,gelenkte Zentralwirtschaft,Planwirtschaft,soziale Marktwirtschaft
"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …",Menschen sich kritisch über die Regierung äußern können.,Bürger friedlich demonstrieren gehen dürfen.,Menschen von einer Privatpolizei ohne Grund verhaftet werden.,jemand ein Verbrechen begeht und deshalb verhaftet wird.,Menschen von einer Privatpolizei ohne Grund verhaftet werden.
"Was bedeutet ""Volkssouveränität""? Alle Staatsgewalt geht vom ...",Volke aus.,Bundestag aus.,preußischen König aus.,Bundesverfassungsgericht aus.,Volke aus.
"Was bedeutet ""Rechtsstaat"" in Deutschland?",Der Staat hat Recht.,Es gibt nur rechte Parteien.,Die Bürgerinnen und Bürger entscheiden über Gesetze.,Der Staat muss die Gesetze einhalten.,Der Staat muss die Gesetze einhalten.
Was ist keine staatliche Gewalt in Deutschland?,Legislative,Judikative,Exekutive,Direktive,Direktive
Was zeigt dieses Bild?,den Bundestagssitz in Berlin,das Bundesverfassungsgericht in Karlsruhe,das Bundesratsgebäude in Berlin,das Bundeskanzleramt in Berlin,den Bundestagssitz in Berlin
Welches Amt gehört in Deutschland zur Gemeindeverwaltung?,Pfarramt,Ordnungsamt,Finanzamt,Auswärtiges Amt,Ordnungsamt
Wer wird meistens zur Präsidentin/zum Präsidenten des Deutschen Bundestages gewählt?,die/der älteste Abgeordnete im Parlament,die Ministerpräsidentin/der Ministerpräsident des größten Bundeslandes,eine ehemalige Bundeskanzlerin/ein ehemaliger Bundeskanzler,eine Abgeordnete/ein Abgeordneter der stärksten Fraktion,eine Abgeordnete/ein Abgeordneter der stärksten Fraktion
Wer ernennt in Deutschland die Ministerinnen/die Minister der Bundesregierung?,die Präsidentin/der Präsident des Bundesverfassungsgerichtes,die Bundespräsidentin/der Bundespräsident,die Bundesratspräsidentin/der Bundesratspräsident,die Bundestagspräsidentin/der Bundestagspräsident,die Bundespräsidentin/der Bundespräsident
"Welche Parteien wurden in Deutschland 2007 zur Partei ""Die Linke""?",CDU und SSW,PDS und WASG,CSU und FDP,Bündnis 90/Die Grünen und SPD,PDS und WASG
In Deutschland gehören der Bundestag und der Bundesrat zur …,Exekutive,Legislative,Direktive,Judikative,Legislative
